time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-20T18:02:46.652Z,54.6685,163.2727,10,4.5,mb,,128,3.196,1.06,us,us7000dl9p,2021-03-20T19:39:20.040Z,"180 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,7.9,1.9,0.061,84,reviewed,us,us
2021-03-20T17:55:19.830Z,37.4583333,-118.8451667,11.08,2.77,md,34,62,0.1321,0.05,nc,nc73539660,2021-03-22T17:42:10.470Z,"19km SW of Toms Place, CA",earthquake,0.27,0.88,0.195,48,reviewed,nc,nc
2021-03-20T17:07:27.065Z,2.6047,31.0737,10,4,mb,,121,3.202,1.37,us,us7000dld3,2021-03-22T05:23:53.578Z,"14 km N of Nebbi, Uganda",earthquake,6.7,2,0.3,3,reviewed,us,us
2021-03-20T16:55:31.280Z,17.9681,-66.9628,6,3.03,md,24,182,0.0814,0.2,pr,pr2021079008,2021-03-20T17:50:56.040Z,"5 km WSW of Fuig, Puerto Rico",earthquake,0.49,0.28,0.19,22,reviewed,pr,pr
2021-03-20T16:41:16.634Z,38.1892,141.8659,56.66,4.3,mb,,161,2.669,0.64,us,us7000dl9f,2021-03-20T17:32:16.040Z,"55 km ESE of Ishinomaki, Japan",earthquake,10.1,10.1,0.189,8,reviewed,us,us
2021-03-20T16:03:54.315Z,30.5132,130.9652,52.19,4.9,mb,,125,1.086,0.77,us,us7000dl9a,2021-03-20T16:44:05.040Z,"24 km S of Nishinoomote, Japan",earthquake,8.1,7.6,0.114,24,reviewed,us,us
2021-03-20T15:42:39.126Z,-23.1599,171.6536,10,5.5,mww,,43,7.318,1.3,us,us7000dl8y,2021-03-21T15:45:28.924Z,"southeast of the Loyalty Islands",earthquake,9.9,1.7,0.056,31,reviewed,us,us
2021-03-20T15:30:22.380Z,34.7213,83.4776,15.04,5.2,mb,,28,8.296,0.62,us,us7000dl8t,2021-03-20T15:49:14.040Z,"western Xizang",earthquake,8.4,4,0.042,200,reviewed,us,us
2021-03-20T15:26:41.170Z,49.0136,156.2938,10,5.1,mb,,167,4.194,0.99,us,us7000dl8s,2021-03-20T15:43:22.040Z,"185 km S of Severo-Kuril’sk, Russia",earthquake,8.5,1.9,0.078,53,reviewed,us,us
2021-03-20T15:15:15.815Z,63.4612,-148.9553,1.6,3.3,ml,,,,0.84,ak,ak0213mwh613,2021-03-20T22:52:53.543Z,"7 km N of Cantwell, Alaska",earthquake,,0.3,,,reviewed,ak,ak
